Date,Open,High,Low,Close,Volume
01-Aug-03,1185.8,1198.8,1180.3,1195.75,86333839
04-Aug-03,1196.05,1206.1,1185.95,1203.6,101511770
05-Aug-03,1203.9,1218.5,1181,1184.45,108251167
06-Aug-03,1184.1,1191.05,1164.75,1171.05,112282482
07-Aug-03,1170.75,1199.7,1170.75,1196.95,112321440
08-Aug-03,1199.7,1224.5,1199.7,1222.65,130088954
11-Aug-03,1222.6,1240.35,1215.75,1232.85,154664395
12-Aug-03,1233.95,1249.35,1229.8,1234.75,146062165
13-Aug-03,1235.35,1249.35,1229.3,1246.9,127521351
14-Aug-03,1247,1260.35,1243.4,1247.75,150830207
18-Aug-03,1247.9,1285.7,1247.9,1281.4,214890048
19-Aug-03,1286.05,1307.6,1268.1,1277.7,233905141
20-Aug-03,1280.8,1292.95,1280.8,1287.4,179404320
21-Aug-03,1288.2,1304.15,1287,1300.95,147954336
22-Aug-03,1301.5,1319.45,1298.8,1311.15,174012616
25-Aug-03,1311.95,1332.55,1245.85,1271.1,189194819
26-Aug-03,1270.2,1322.95,1269.5,1318.2,203044555
27-Aug-03,1318.75,1346.3,1318.75,1340.3,186171921
28-Aug-03,1340.2,1349,1328.35,1341.05,147158684
29-Aug-03,1341.2,1365.8,1340.8,1356.55,187820071
01-Sep-14,7990.35,8035,7984,8027.7,139328061
02-Mar-15,8953.85,8972.35,8885.45,8956.75,224772586
03-Mar-15,8962.85,9008.4,8925.55,8996.25,183251960
04-Mar-15,9109.15,9119.2,8893.95,8922.65,256060375
05-Mar-15,8929.4,8957.55,8849.35,8937.75,165081476
09-Mar-15,8891.15,8891.3,8740.45,8756.75,160332840
10-Mar-15,8769.75,8778,8677.35,8712.05,168916337
11-Mar-15,8728.75,8755.6,8682.35,8699.95,178053293
12-Mar-15,8740.65,8787.2,8732.9,8776,179337979
12-Sep-14,8087.05,8114.3,8071.6,8105.5,111444349
15-Sep-14,8070.35,8077.3,8030,8042,96502556
16-Sep-14,8036.6,8044.9,7925.15,7932.9,127952551
17-Sep-14,7971.5,7990.65,7936.95,7975.5,123722390
18-Sep-14,7950.65,8120.85,7939.7,8114.75,116930309
19-Sep-14,8129.4,8160.9,8105.35,8121.45,161284509
22-Sep-14,8084.45,8159.9,8064.8,8146.3,105507265
23-Sep-14,8144.4,8159.75,8008.1,8017.55,140780912
24-Sep-14,8015.55,8042.05,7950.05,8002.4,182208501
25-Sep-14,8003.3,8019.3,7877.35,7911.85,231899016
26-Sep-03,1357.55,1389.3,1357.35,1386.95,142165715
29-Sep-03,1386.9,1422.35,1386.1,1399.95,139656652
30-Sep-03,1400.7,1418.1,1399.8,1417.1,117562513
01-Oct-03,1416.6,1430.9,1407.95,1420.85,118748942
03-Oct-03,1420.85,1451.2,1420.85,1449.3,140535297
06-Oct-03,1449.45,1481.05,1423.75,1478.9,145928936
07-Oct-03,1478.95,1498.45,1467.75,1477.85,210467958
08-Oct-03,1477.85,1493.05,1460.6,1478.6,147781840
09-Oct-03,1487.85,1505.05,1478.4,1502.1,117870572
10-Oct-03,1507.1,1527.25,1505.1,1523.1,152851144
13-Oct-03,1523.35,1550.9,1516.05,1546.75,132233265
14-Oct-03,1548.7,1562.85,1513.75,1520.8,182174604
15-Oct-03,1521.45,1543.85,1503,1537,152159445
16-Oct-03,1537.3,1563.4,1537.3,1555.7,162780171
17-Oct-03,1565.2,1574.1,1552.15,1569.45,200565508
20-Oct-03,1569.7,1574.1,1536.5,1542.7,167970501
21-Oct-03,1546.2,1549.65,1496.95,1506.5,196133297
22-Oct-03,1506.75,1522.65,1483,1494.1,152764083
23-Oct-03,1494.75,1503,1466.25,1470.45,133913651
24-Oct-03,1485.8,1512.55,1434.75,1506.05,150857549
25-Oct-03,1506.05,1533.05,1506.05,1521.95,43192470
